triple_id	subject	predicate	object	source_file	source_row
152	P2P文件分发时间	取决于	主机向对等方传送文件的具体方式	P2P应用	28
153	P2P文件分发	至少需要	服务器将文件的每一个比特传送到互联网	P2P应用	29
154	P2P文件分发	可以	由其他主机代替服务器向其他对等方分发文件	P2P应用	30
155	P2P文件分发时间	不可能小于	下载速率最慢的主机下载文件的时间	P2P应用	31
156	P2P文件分发	涉及	所有主机的上传速率之和	P2P应用	32
157	P2P文件分发	需要	考虑对等方的上传速率和下载速率	P2P应用	33
158	P2P文件分发	可以	通过增加指针表加速查找	P2P应用	34
159	Chord算法	是	美国麻省理工大学于2001年提出的分布式散列表DHT算法	P2P应用	35
160	DHT	利用	散列函数把资源名及其存放的节点IP地址映射为标识符	P2P应用	36
161	Chord环	由	大量对等方共同维护的散列表	P2P应用	37
162	Chord环节点	维护	两个指针变量指向其后继节点和前任节点	P2P应用	38
163	Chord环	通过	增加指针表加速查找资源	P2P应用	39
164	P2P技术	面临	音频/视频文件的知识产权问题	P2P应用	40
165	P2P文件共享程序	导致	非法盗版或不健康音频/视频文件在互联网上广泛传播	P2P应用	41
166	P2P文件共享程序	消耗	互联网主干网上大部分的带宽	P2P应用	42
167	P2P技术	需要	制定合理的收费标准	P2P应用	43
168	应用层协议	规定	应用进程在通信时所遵循的规则	P2P应用	44
169	应用层协议	基于	客户服务器方式	P2P应用	45
170	域名系统DNS	是	互联网使用的命名系统	P2P应用	46
171	DNS	采用	客户服务器方式	P2P应用	47
172	域名解析	由	分布在互联网上的许多域名服务器程序共同完成	P2P应用	48
173	互联网	采用	层次树状结构的命名方法	P2P应用	49
174	域名服务器	分为	根域名服务器、顶级域名服务器、权限域名服务器和本地域名服务器	P2P应用	50
175	文件传送协议FTP	使用	TCP可靠的运输服务	P2P应用	51
176	FTP	在	进行文件传输时需要建立两个并行的TCP连接	P2P应用	52
177	尾部丢弃策略	导致	一连串分组的丢失	TCP 的运输连接管理	0
178	TCP连接	进入	拥塞控制的慢开始状态	TCP 的运输连接管理	1
179	路由器中的尾部丢弃	可能	同时影响到很多条TCP连接	TCP 的运输连接管理	2
180	TCP连接	在	同一时间突然都进入到慢开始状态	TCP 的运输连接管理	3
181	这种现象	称为	全局同步(global synchronization)	TCP 的运输连接管理	4
182	全局同步	导致	全网的通信量突然下降了很多	TCP 的运输连接管理	5
183	网络恢复正常后	导致	通信量突然增大很多	TCP 的运输连接管理	6
184	主动队列管理AQM	是	为了避免发生网络中的全局同步现象	TCP 的运输连接管理	7
185	AQM	意味着	在队列长度达到某个值得警惕的数值时主动丢弃到达的分组	TCP 的运输连接管理	8
186	RED	是	随机早期检测(Random Early Detection)	TCP 的运输连接管理	9
187	RED	需要	使路由器维持两个参数，即队列长度最小门限和最大门限	TCP 的运输连接管理	10
188	TCP	是	面向连接的协议	TCP 的运输连接管理	11
189	TCP运输连接	用来	传送TCP报文	TCP 的运输连接管理	12
190	TCP运输连接	有三个阶段	连接建立、数据传送和连接释放	TCP 的运输连接管理	13
191	TCP连接建立	要解决	使每一方能够确知对方的存在	TCP 的运输连接管理	14
192	TCP连接建立	要解决	允许双方协商一些参数	TCP 的运输连接管理	15
193	TCP连接建立	要解决	对运输实体资源进行分配	TCP 的运输连接管理	16
194	TCP连接的建立	采用	客户服务器方式	TCP 的运输连接管理	17
195	主动发起连接建立的应用进程	称为	客户(client)	TCP 的运输连接管理	18
196	被动等待连接建立的应用进程	称为	服务器(server)	TCP 的运输连接管理	19
197	TCP建立连接的过程	称为	握手	TCP 的运输连接管理	20
198	握手	需要	在客户和服务器之间交换三个TCP报文段	TCP 的运输连接管理	21
199	SYN报文段	不能携带	数据	TCP 的运输连接管理	22
200	TCP客户进程	在打算建立TCP连接时	进入SYN-SENT状态	TCP 的运输连接管理	23
201	TCP服务器进程	在收到连接请求后	进入SYN-RCVD状态	TCP 的运输连接管理	24
202	TCP客户进程	收到确认后	进入ESTABLISHED状态	TCP 的运输连接管理	25
203	TCP服务器进程	收到确认后	进入ESTABLISHED状态	TCP 的运输连接管理	26
204	TCP连接释放	比较复杂	涉及双方状态的改变	TCP 的运输连接管理	27
205	TCP连接释放	需要	四报文握手	TCP 的运输连接管理	28
206	FIN报文段	即使不携带数据	也消耗掉一个序号	TCP 的运输连接管理	29
207	TCP	设有	保活计时器(keepalive timer)	TCP 的运输连接管理	30
208	保活计时器	用来	检测客户端是否正常	TCP 的运输连接管理	31
209	服务器	每收到一次客户的数据	就重新设置保活计时器	TCP 的运输连接管理	32
210	若两小时没有收到客户的数据	服务器	就发送一个探测报文段	TCP 的运输连接管理	33
211	服务器	若一连发送10个探测报文段后仍无客户的响应	就关闭这个连接	TCP 的运输连接管理	34
212	TCP的有限状态机	描述	TCP连接的各种状态之间关系	TCP 的运输连接管理	35
213	TCP	通过	窗口扩大选项协商窗口大小	TCP可靠传输的实现	0
214	窗口扩大选项	占用	3字节	TCP可靠传输的实现	1
215	移位值S	允许使用的最大值	14	TCP可靠传输的实现	2
216	窗口最大值	增大到	2^30 - 1	TCP可靠传输的实现	3
217	时间戳选项	占用	10字节	TCP可靠传输的实现	4
218	时间戳选项	包含	时间戳值字段和时间戳回送回答字段	TCP可靠传输的实现	5
219	时间戳选项	用来	计算往返时间RTT	TCP可靠传输的实现	6
220	PAWS	称为	防止序号绕回	TCP可靠传输的实现	7
221	TCP报文段序号	只有	32位	TCP可靠传输的实现	8
222	选择确认选项	将在	5.6.3节介绍	TCP可靠传输的实现	9
223	滑动窗口	以字节为单位	描述TCP可靠传输	TCP可靠传输的实现	10
224	发送窗口	表示	在没有收到确认的情况下可以连续发送的数据范围	TCP可靠传输的实现	11
225	发送窗口	受到	接收方窗口大小的限制	TCP可靠传输的实现	12
226	发送窗口后沿	表示	已发送且已收到确认的数据	TCP可靠传输的实现	13
227	发送窗口前沿	表示	不允许发送的数据	TCP可靠传输的实现	14
228	发送窗口前沿	可能	向后收缩当对方通知的窗口缩小了	TCP可靠传输的实现	15
229	发送窗口	需要	三个指针P1、P2和P3来描述其状态	TCP可靠传输的实现	16
230	接收窗口	表示	允许接收的数据范围	TCP可靠传输的实现	17
231	接收窗口	受到	接收方缓存大小的限制	TCP可靠传输的实现	18
232	TCP	要求	接收方必须有累积确认的功能	TCP可靠传输的实现	19
233	TCP通信	是	全双工通信	TCP可靠传输的实现	20
234	超时重传时间RTO	应略大于	加权平均往返时间RTTs	TCP可靠传输的实现	21
235	RTTs	通过	加权平均算法计算	TCP可靠传输的实现	22
236	RTTo	是	RTT的偏差的加权平均值	TCP可靠传输的实现	23
237	Karn算法	提出	在计算加权平均RTT时不采用重传报文段的往返时间样本	TCP可靠传输的实现	24
238	选择确认SACK	允许	只传送缺少的数据而不重传已经正确到达接收方的数据	TCP可靠传输的实现	25
239	SACK	需要	在TCP首部的选项中加上允许SACK的选项	TCP可靠传输的实现	26
240	SACK选项	占用	最多40字节	TCP可靠传输的实现	27
241	SACK	报告	收到的不连续的字节块的边界	TCP可靠传输的实现	28
242	TCP首部	没有字段提供	字节块边界信息	TCP可靠传输的实现	29
243	确认号字段	在SACK中	用法不变	TCP可靠传输的实现	30
244	TCP	要求	接收方对按序收到的数据中的最高序号给出确认	TCP可靠传输的实现	31
245	发送方	必须	控制写入缓存的速率	TCP可靠传输的实现	32
246	接收方	可以	在合适的时候发送确认	TCP可靠传输的实现	33
247	TCP标准	规定	确认推迟的时间不应超过0.5秒	TCP可靠传输的实现	34
248	接收方	如果收到	一连串具有最大长度的报文段则必须每隔一个报文段就发送一个确认	TCP可靠传输的实现	35
249	发送窗口前沿	可能	不动如果收到了新的确认但对方通知的窗口大小不变	TCP可靠传输的实现	36
250	发送窗口后沿	不可能	向后移动	TCP可靠传输的实现	37
251	发送窗口	受到	网络拥塞程度的制约	TCP可靠传输的实现	38
252	发送窗口	可以	根据网络拥塞情况适当减小发送窗口数值	TCP可靠传输的实现	39
253	TCP首部选项	包括	允许SACK的选项	TCP可靠传输的实现	42
254	SACK	允许	报告多个不连续的字节块边界	TCP可靠传输的实现	43
255	连续ARQ协议	规定	发送方每收到一个确认，就把发送窗口向前滑动一个分组的位置	TCP报文段的首部格式	0
256	接收方	采用	累积确认的方式	TCP报文段的首部格式	1
257	累积确认	优点是	容易实现，即使确认丢失也不必重传	TCP报文段的首部格式	2
258	累积确认	缺点是	不能向发送方及时反映接收方已经正确收到所有分组的信息	TCP报文段的首部格式	3
259	Go-back-N	表示	需要再退回来重传已发送过的N个分组	TCP报文段的首部格式	4
260	TCP	传送的数据单元是	报文段	TCP报文段的首部格式	5
261	TCP报文段	分为	首部和数据两部分	TCP报文段的首部格式	6
262	TCP首部	最小长度是	20字节	TCP报文段的首部格式	7
263	TCP首部固定部分	包括	源端口号和目的端口号	TCP报文段的首部格式	8
264	TCP	通过	端口实现分用功能	TCP报文段的首部格式	9
265	序号	占	4字节	TCP报文段的首部格式	10
266	序号范围	是	[0, 2^32 - 1]	TCP报文段的首部格式	11
267	TCP	面向	字节流	TCP报文段的首部格式	12
268	TCP连接中传送的字节流	每	一个字节都按顺序编号	TCP报文段的首部格式	13
269	序号字段值	指的是	本报文段所发送的数据的第三个字节的序号	TCP报文段的首部格式	14
270	确认号	占	4字节	TCP报文段的首部格式	15
271	确认号	是	期望收到对方下一个报文段的第一个数据字节的序号	TCP报文段的首部格式	16
272	数据偏移	占	4位	TCP报文段的首部格式	17
273	数据偏移	指出	TCP报文段的数据起始处距离TCP报文段的起始处有多远	TCP报文段的首部格式	18
274	保留	占	6位	TCP报文段的首部格式	19
275	紧急URG	当置为1时	表明紧急指针字段有效	TCP报文段的首部格式	20
276	确认ACK	仅当置为1时	确认号字段才有效	TCP报文段的首部格式	21
277	推送PSH	当置为1时	表明发送方TCP把PSH置1，并立即创建一个报文段发送出去	TCP报文段的首部格式	22
278	复位RST	当置为1时	表明TCP连接中出现严重差错，必须释放连接	TCP报文段的首部格式	23
279	同步SYN	在连接建立时用来	同步序号	TCP报文段的首部格式	24
280	终止FIN	当置为1时	表明此报文段的发送方的数据已发送完毕，并要求释放运输连接	TCP报文段的首部格式	25
281	窗口	占	2字节	TCP报文段的首部格式	26
282	窗口值	是	[0, 2^16 - 1]之间的整数	TCP报文段的首部格式	27
283	窗口	指的是	发送本报文段的一方的接收窗口	TCP报文段的首部格式	28
284	检验和	占	2字节	TCP报文段的首部格式	29
285	检验和字段检验的范围包括		首部和数据两部分	TCP报文段的首部格式	30
286	紧急指针	占	2字节	TCP报文段的首部格式	31
287	选项	长度可变	最长可达40字节	TCP报文段的首部格式	32
288	最大报文段长度MSS	是	每一个TCP报文段中的数据字段的最大长度	TCP报文段的首部格式	33
289	窗口扩大选项	占	3字节	TCP报文段的首部格式	34
290	时间戳选项	占	10字节	TCP报文段的首部格式	35
291	时间戳选项	用于	计算往返时间RTT和处理TCP序号超过2^32的情况	TCP报文段的首部格式	36
292	选择确认选项	用于	处理TCP序号超过2^32的情况	TCP报文段的首部格式	37
293	TCP	通过	发送方积累足够大的报文段进行数据传输	TCP的拥塞控制	0
294	拥塞控制	定义为	防止过多的数据注入到网络中，使网络中的路由器或链路不至过载	TCP的拥塞控制	1
295	网络拥塞	发生当	对网络中某一资源的需求超过了该资源所能提供的可用部分	TCP的拥塞控制	2
296	网络性能	变坏如果	网络中许多资源同时呈现供应不足	TCP的拥塞控制	3
297	网络拥塞	可能由	节点缓存容量太小导致分组被丢弃引起	TCP的拥塞控制	4
298	网络拥塞	可能由	处理机处理速率太低引起	TCP的拥塞控制	5
299	网络拥塞	导致	重传，从而加剧网络拥塞	TCP的拥塞控制	6
300	拥塞控制	与	流量控制关系密切	TCP的拥塞控制	7
301	流量控制	是	端到端的问题，接收端控制发送端	TCP的拥塞控制	8
302	拥塞控制	是	全局性的过程，涉及所有主机和路由器	TCP的拥塞控制	9
303	TCP连接端点	无法知道	拥塞发生在网络的何处及其具体原因	TCP的拥塞控制	10
304	拥塞控制算法	向	发送端发送控制报文，告诉发送端网络已出现麻烦	TCP的拥塞控制	11
305	拥塞控制	需要	获得网络内部流量分布的信息	TCP的拥塞控制	12
306	拥塞控制	需要	在节点之间交换信息和各种命令	TCP的拥塞控制	13
307	拥塞控制	可能导致	网络资源不能更好地实现共享	TCP的拥塞控制	14
308	拥塞控制	需要	全面衡量得失	TCP的拥塞控制	15
309	理想的拥塞控制	使	网络吞吐量维持在所能达到的最大值	TCP的拥塞控制	16
310	实际网络	可能	在吞吐量还未达到饱和时已有一部分输入分组被丢弃	TCP的拥塞控制	17
311	网络	进入	轻度拥塞状态当吞吐量明显小于理想吞吐量	TCP的拥塞控制	18
312	网络	进入	拥塞状态当提供的负载达到某一数值	TCP的拥塞控制	19
313	网络	可能	因提供的负载继续增大到某一数值而无法工作，即死锁	TCP的拥塞控制	20
314	寻找拥塞控制方案	是	寻找使不等式不再成立条件的过程	TCP的拥塞控制	21
315	开环控制	是	在设计网络时事先将发生拥塞的有关因素考虑周到	TCP的拥塞控制	22
316	闭环控制	基于	反馈环路的概念	TCP的拥塞控制	23
317	闭环控制	包括	监测网络系统以便检测到拥塞在何时、何处发生	TCP的拥塞控制	24
318	闭环控制	包括	把拥塞发生信息传送到可采取行动的地方	TCP的拥塞控制	25
319	闭环控制	包括	调整网络系统运行以解决出现的问题	TCP的拥塞控制	26
320	监测网络拥塞	使用	因缺少缓存空间而被丢弃的分组的百分比等指标	TCP的拥塞控制	27
321	拥塞控制	可能导致	系统产生不稳定的震荡	TCP的拥塞控制	28
322	TCP	进行	拥塞控制的算法包括慢开始、拥塞避免、快重传和快恢复	TCP的拥塞控制	29
323	慢开始算法	规定	在每收到一个对新报文段的确认后，可把拥塞窗口增加最多一个SMSS的数值	TCP的拥塞控制	30
324	拥塞避免算法	规定	每经过一个往返时间RTT，发送方的拥塞窗口cwnd的大小就加1	TCP的拥塞控制	31
325	快重传算法	要求	接收方不要等待自己发送数据时才进行捎带确认	TCP的拥塞控制	32
326	快恢复算法	规定	发送方收到三个重复的确认后不启动慢开始，而是执行快恢复	TCP的拥塞控制	33
327	AIMD算法	指	加法增大和乘法减小的拥塞控制方法	TCP的拥塞控制	34
328	主动队列管理AQM	是	在队列长度达到某个值得警惕的数值时就主动丢弃到达的分组	TCP的拥塞控制	35
329	RED	是	随机早期检测的算法	TCP的拥塞控制	36
330	TCP运输连接	用于	传送TCP报文	TCP的拥塞控制	37
331	TCP连接的建立和释放	涉及	运输连接管理	TCP的拥塞控制	39
332	接收方窗口	又称为	通知窗口	TCP的拥塞控制	40
333	发送方窗口	由	接收方窗口rwnd和拥塞窗口cwnd中较小的一个决定	TCP的拥塞控制	41
334	全局同步	导致	许多TCP连接同时进入到慢开始状态	TCP的拥塞控制	42
335	尾部丢弃策略	称为	FIFO（先进先出）	TCP的拥塞控制	43
336	路由器	可能	因尾部丢弃而导致一连串分组的丢失	TCP的拥塞控制	44
337	TCP	实现	流量控制	TCP的流量控制	0
338	流量控制	定义为	让发送方的发送速率不要太快，要让接收方来得及接收	TCP的流量控制	1
339	滑动窗口机制	用于	实现TCP连接上的流量控制	TCP的流量控制	2
340	TCP窗口	单位是	字节	TCP的流量控制	3
341	TCP	在	连接建立时进行窗口协商	TCP的流量控制	4
342	接收方	通过	发送窗口值来控制发送方的发送窗口	TCP的流量控制	5
343	发送方	不能超过	接收方给出的接收窗口数值	TCP的流量控制	6
344	接收方	进行	三次流量控制	TCP的流量控制	7
345	流量控制	包括	把窗口减小到rwnd=300，再减到rwnd=100，最后减到rwnd=0	TCP的流量控制	8
346	TCP	规定	即使设置为零窗口，也必须接收特定的报文段	TCP的流量控制	9
347	持续计时器	用于	解决TCP接收方发送零窗口后出现的死锁局面	TCP的流量控制	10
348	持续计时器	发送	零窗口探测报文段	TCP的流量控制	11
349	Nagle算法	用于	控制TCP发送报文段的时机	TCP的流量控制	12
350	Nagle算法	规定	当到达的数据已达到发送窗口大小的一半或已达到报文段的最大长度时，就立即发送一个报文段	TCP的流量控制	13
351	糊涂窗口综合征	导致	TCP的性能变坏	TCP的流量控制	14
352	糊涂窗口综合征	解决方法	让接收方等待一段时间，使得或者接收缓存已有足够空间容纳一个最长的报文段，或者等到接收缓存已有一半空闲的空间	TCP的流量控制	15
353	拥塞控制	是一个	全局性的过程	TCP的流量控制	17
354	拥塞	导致	重传，从而加剧网络的拥塞	TCP的流量控制	18
355	流量控制	是	端到端的问题	TCP的流量控制	20
356	TCP	通过	推送操作支持发送方的应用进程指明要求发送报文段	TCP的流量控制	21
357	TCP	使用	最大报文段长度MSS	TCP的流量控制	22
358	TCP	使用	计时器控制发送报文段的时机	TCP的流量控制	23
359	交互式用户	使用	TELNET连接	TCP的流量控制	24
360	TCP	要求	适当延迟发回确认报文，并尽量使用捎带确认的方法	TCP的流量控制	25
361	发送方	不要	发送太小的报文段	TCP的流量控制	26
362	接收方	不要	在缓存刚刚有了一点小的空间就急忙把这个很小的窗口大小信息通知给发送方	TCP的流量控制	27
363	TCP	涉及	所有的主机、所有的路由器，以及与降低网络传输性能有关的所有因素	TCP的流量控制	28
364	TCP	无法知道	拥塞到底发生在网络的何处，也无法知道发生拥塞的具体原因	TCP的流量控制	29
365	拥塞控制	要	网络能够承受现有的网络负荷	TCP的流量控制	30
366	拥塞	往往是由	很多因素引起的	TCP的流量控制	31
367	网络拥塞	造成	网络资源的严重浪费	TCP的流量控制	32
368	处理机处理速率	可能	引起网络的拥塞	TCP的流量控制	33
